Code,Year,Name,Add_1,Add_2,Kind,Staple_food,Dong_name,Number
3150000,2012,(주)닥터로빈,"서울특별시 강서구 공항대로 396, 1층 (화곡동, 6동 귀뚜라미보일러사옥)",서울특별시 강서구 화곡동  1094번지 0호  귀뚜라미보일러사옥 1층,경양식,"파스타, 피자",화곡제6동,226933100
3150000,2015,베뉴지,"서울특별시 강서구 강서로 388, 지하1~2층 (등촌동, 3동 그랜드백화점)",서울특별시 강서구 등촌동  678번지 14호  그랜드백화점 (지하 1~ 지상 2층),뷔페식,뷔페,등촌제3동,226572125
3150000,2011,이조화로구이,"서울특별시 강서구 양천로 738, A동 1~2층 (염창동)",서울특별시 강서구 염창동  261번지 4호 A (지상 1층~2층),한식,돼지갈비,염창동,226498592
3150000,2008,아웃백스테이크하우스 공항점,"서울특별시 강서구 공항대로 297, 1~3층 (등촌동, 3동)",서울특별시 강서구 등촌동  672번지 1호  (지상 1~3층),경양식,스테이크,등촌제3동,236611101
3150000,2011,갯마을식당,"서울특별시 강서구 양천로 362, 1층 (가양동, 1동)",서울특별시 강서구 가양동  130번지 1호  (지상 1층),한식,생선회,가양제1동,236625112
3150000,2008,하남 돼지 집 발산점,"서울특별시 강서구 강서로54길 49, 1층 (등촌동, 3동)",서울특별시 강서구 등촌동  671번지 4호  (지상 1층),한식,생삼겹살,등촌제3동,236639233
3150000,2014,현대옥 서울강서점,"서울특별시 강서구 화곡로 346, 1층 101~102호 (화곡동, 6동 귀뚜라미홈시스템)",서울특별시 강서구 화곡동  1111번지 2호  귀뚜라미홈시스템 (지상 1층) 101~102호,한식,콩나물국밥,화곡제6동,7076210677
3150000,2014,당신을위하여,"서울특별시 강서구 공항대로 290, 2층 (내발산동, 우장산동 순봉빌딩)",서울특별시 강서구 내발산동  646번지 1호  순봉빌딩 (지상 2층),일식,광어회,우장산동,236646667
3150000,2010,팔선,"서울특별시 강서구 공항대로45길 44, 2층 201호 (등촌동, 1동)",서울특별시 강서구 등촌동  641번지 11호  외 2필지 (지상 2층)-201,중국식,탕수육,등촌제1동,226582984
3150000,2009,라페스타(LA FESTA),"서울특별시 강서구 방화대로 94, 1층 (외발산동, 1동 메이필드호텔A동)",서울특별시 강서구 외발산동  426번지 0호 A 메이필드호텔(지상 1층),경양식,세트요리,발산제1동,226609124
3150000,2009,궁중추어탕,"서울특별시 강서구 개화동로 565, 1층 (방화동, 2동)",서울특별시 강서구 방화동  621번지 24호  (지상 1층),한식,추어탕,방화제2동,226637332
3150000,2008,설악추어탕,"서울특별시 강서구 금낭화로 105, 1층 (방화동, 1동)",서울특별시 강서구 방화동  453번지 44호  (지상 1층),한식,추어탕,방화제1동,226666776
3150000,2002,하바나,"서울특별시 강서구 공항대로 272, 8층 (내발산동, 1동)",서울특별시 강서구 내발산동  644번지 2호  (지상 8층),경양식,하바나정식,발산제1동,02 26652500
3150000,2007,무봉리토종순대국방화지점,"서울특별시 강서구 양천로 82-1, 1층 (방화동, 1동)",서울특별시 강서구 방화동  570번지 6호  (지상 1층),한식,순대국,방화제1동,226670688
3150000,2012,공항컨벤션웨딩,"서울특별시 강서구 강서로 357, 지하1층, 2~4층 (내발산동, 1동)","서울특별시 강서구 내발산동  654번지 0호  (지하 1층, 지상 2~4층)",뷔페식,뷔페,발산제1동,226663300
3150000,2013,방화초록동원칼국수,"서울특별시 강서구 금낭화로 108, 1층 (방화동, 1동)",서울특별시 강서구 방화동  453번지 64호  (지상 1층),한식,칼국수,방화제1동,226610910
3150000,2009,채선당,"서울특별시 강서구 양천로 28, 본관동 1층 124~125호 (방화동, 2동 벽산에어트리움)",서울특별시 강서구 방화동  849번지 0호 본관 벽산에어트리움 (지상 1층) 124~125호,한식,샤브샤브,방화제2동,02 26620701
3150000,2015,촌장골,"서울특별시 강서구 양천로 59, 1층 (방화동, 1동)",서울특별시 강서구 방화동  484번지 3호  외 1필지 (지상 1층),한식,촌장소왕구이,방화제1동,226618592
3150000,2003,이조갈비,"서울특별시 강서구 양천로 353, 1층 (가양동, 1동)",서울특별시 강서구 가양동  138번지 9호  외 2필지 (지상 1층),한식,갈비탕,가양제1동,236613457
3150000,2010,엉터리생고기,"서울특별시 강서구 양천로18길 18, 1층 (방화동, 1동)",서울특별시 강서구 방화동  575번지 10호  (지상 1층),한식,삼겹살,방화제1동,226623668
3150000,2013,더존한우,"서울특별시 강서구 하늘길 233, C동 1~2층 (공항동, 김포공항 골프포트)",서울특별시 강서구 공항동  1373번지 0호 C 김포공항 골프포트 (지상 1층~2층),식육(숯불구이),"갈비탕, 한우탕",공항동,220642000
3150000,2008,미락,"서울특별시 강서구 공항대로 509, 1층 110~112호 (등촌동, 1동 우림보보카운티뷰)",서울특별시 강서구 등촌동  649번지 14호  우림보보카운티뷰 (지상 1층) 110~112호,복어취급,"복지리, 매운탕",등촌제1동,236623535
3150000,2002,김가네설렁탕,"서울특별시 강서구 방화동로 56, 1층 (방화동, 1동)",서울특별시 강서구 방화동  609번지 30호  (지상 1층),한식,설렁탕,방화제1동,226660666
3150000,2008,압구정샤브샤브,"서울특별시 강서구 강서로56길 96, 2층 (등촌동, 3동)",서울특별시 강서구 등촌동  667번지 2호  (지상 2층),한식,샤브샤브,등촌제3동,236635052
3150000,2008,남다른 감자탕,"서울특별시 강서구 금낭화로 29, 1층 (방화동, 2동)",서울특별시 강서구 방화동  597번지 25호  (지상 1층),한식,감자탕,방화제2동,226642110
3150000,2008,항아리보쌈,"서울특별시 강서구 강서로56길 44, 3층 (등촌동, 3동)",서울특별시 강서구 등촌동  671번지 1호  (지상 3층),한식,보쌈,등촌제3동,236656565
3150000,2009,도일처,"서울특별시 강서구 방화동로 1, 1~2층 (방화동, 2동)",서울특별시 강서구 방화동  621번지 19호  (지상 1~2층),중국식,누룽지해물탕,방화제2동,226622322
3150000,2015,캐슬 테라스(Castle Terrace),"서울특별시 강서구 방화대로 94, (외발산동,(지상 1층))",서울특별시 강서구 외발산동  426번지 0호  (지상 1층),경양식,뷔페,발산제1동,226609030
3150000,2013,(주)이랜드파크 외식BU 리미니리꼬가양이마트점,"서울특별시 강서구 양천로 559, 매장동 3층 (가양동, 3동 가양이마트)",서울특별시 강서구 가양동  449번지 19호 매장 가양이마트 (지상 3층),경양식,스파게티,가양제3동,236638176
3150000,2013,아시아문강서NC점,"서울특별시 강서구 강서로56길 17, 9층 (등촌동, 강서NC백화점)",서울특별시 강서구 등촌동  689번지 0호  외 2필지 강서NC백화점 (지상 9층),중국식,쌀국수,등촌제3동,02  26679829
3150000,2013,한식전문점반궁,"서울특별시 강서구 강서로56길 17, 9층 (등촌동, 강서NC백화점)",서울특별시 강서구 등촌동  689번지 0호  외 2필지 강서NC백화점 (지상 9층),한식,한정식,등촌제3동,226679860
3150000,2013,자연별곡,"서울특별시 강서구 강서로56길 17, 9층 (등촌동, 강서NC백화점)",서울특별시 강서구 등촌동  689번지 0호  외 2필지 강서NC백화점 (지상 9층),한식,뷔페,등촌제3동,226679779
3150000,2013,함흥냉면전문점후원,"서울특별시 강서구 강서로56길 17, 9층 (등촌동, 강서NC백화점)",서울특별시 강서구 등촌동  689번지 0호  외 2필지 강서NC백화점 (지상 9층),한식,냉면,등촌제3동,226679853
3150000,2009,우리마을셀프장어네,"서울특별시 강서구 곰달래로 254, 1층 (화곡동, 4동)",서울특별시 강서구 화곡동  796번지 14호  (지상 1층),한식,삽겹살,화곡제4동,226522284
3150000,2009,대박감자탕,"서울특별시 강서구 곰달래로 255, 1층 (화곡동, 4동)",서울특별시 강서구 화곡동  797번지 3호  (지상 1층),한식,감자탕,화곡제4동,226420555
3150000,2014,고기굼터(발산점),"서울특별시 강서구 강서로54길 14, 2층 (등촌동, 3동 윤강빌딩)",서울특별시 강서구 등촌동  673번지 3호  윤강빌딩(지상 2층),한식,돼지갈비,등촌제3동,226593592
3150000,2014,엉터리생고기,"서울특별시 강서구 양천로 706, 1층 (염창동)",서울특별시 강서구 염창동  263번지 2호  (지상 1층),한식,삼겹살,염창동,236655336
3150000,2014,목우촌미소와돈가양점,"서울특별시 강서구 양천로 551-17, 2층 201호 (가양동, 3동 한화비즈메트로1차)",서울특별시 강서구 가양동  449번지 4호  외 2필지 한화비즈메트로1차 (지상 2층)-201,한식,삼겹살,가양제3동,269570092
3150000,2012,취락한방능이백숙,"서울특별시 강서구 화곡로53길 7-8, 1층 (화곡동, 6동)",서울특별시 강서구 화곡동  988번지 4호  (지상 1층),한식,능이백숙,화곡제6동,226028478
3150000,2009,돈구이 소 정육식당,"서울특별시 강서구 곰달래로 201, 1층 (화곡동, 2동)",서울특별시 강서구 화곡동  861번지 37호  외 1필지 (지상 1층),식육(숯불구이),소한마리,화곡제2동,226015945
